NAME                                      CPU(cores)   MEMORY(bytes)   
compose-post-service-74986b4f54-xmhc6     3m           47Mi            
home-timeline-redis-586f566fdf-mlwpg      6m           46Mi            
home-timeline-service-66997fc4b8-6shhm    5m           47Mi            
jaeger-5cff57d7f7-dspq5                   3m           51Mi            
media-frontend-797d856d65-4k8kb           2m           57Mi            
media-memcached-5cbf7bf886-jk9xz          4m           43Mi            
media-mongodb-8cfdd7ff5-mgm6f             7m           99Mi            
media-service-69ddcfdf4d-sq979            4m           45Mi            
nginx-thrift-5b56f597b8-d7mf7             7m           48Mi            
post-storage-memcached-85b4b99dbb-4z4h2   4m           48Mi            
post-storage-mongodb-7645bf8bbf-qlcqr     10m          101Mi           
post-storage-service-5b68798f65-2dxkv     4m           48Mi            
social-graph-mongodb-7fdbdf58b5-hhqrw     6m           100Mi           
social-graph-redis-859d5fcd6d-mgmsg       5m           46Mi            
social-graph-service-7dc59bf66c-n9v49     5m           46Mi            
text-service-555696dcc-c8tbw              4m           46Mi            
unique-id-service-f576d5678-pqx92         3m           44Mi            
url-shorten-memcached-bb4979b5b-jk74j     4m           45Mi            
url-shorten-mongodb-6f48587c6d-kvmrp      7m           99Mi            
url-shorten-service-846d8494-jjgtw        4m           45Mi            
user-memcached-75b685b7f6-lm47n           4m           44Mi            
user-mention-service-85df4557d9-bhv58     4m           45Mi            
user-mongodb-97768cbd4-n8s5z              6m           99Mi            
user-service-76cc87fb77-wpm6x             3m           45Mi            
user-timeline-mongodb-69d975c85b-ll8gz    9m           104Mi           
user-timeline-redis-75bb68b85-stcq7       5m           46Mi            
user-timeline-service-6cf8745f96-dqbzq    4m           47Mi            
