step,time_s,hot_expert,expert_0_popularity,expert_1_popularity,expert_2_popularity,expert_3_popularity,expert_4_popularity,expert_5_popularity
0,0.000,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
1,0.100,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
2,0.200,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
3,0.300,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
4,0.400,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
5,0.500,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
6,0.600,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
7,0.700,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
8,0.800,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
9,0.900,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
10,1.000,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
11,1.100,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
12,1.200,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
13,1.300,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
14,1.400,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
15,1.500,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
16,1.600,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
17,1.700,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
18,1.800,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
19,1.900,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
20,2.000,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
21,2.100,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
22,2.200,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
23,2.300,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
24,2.400,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
25,2.500,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
26,2.600,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
27,2.700,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
28,2.800,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
29,2.900,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
30,3.000,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
31,3.100,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
32,3.200,2,0.075000,0.075000,0.625000,0.075000,0.075000,0.075000
33,3.300,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
34,3.400,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
35,3.500,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
36,3.600,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
37,3.700,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
38,3.800,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
39,3.900,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
40,4.000,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
41,4.100,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
42,4.200,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
43,4.300,3,0.075000,0.075000,0.075000,0.625000,0.075000,0.075000
