NAME                                     READY   STATUS    RESTARTS   AGE     IP                NODE           NOMINATED NODE   READINESS GATES
adservice-78bc84b65-lh2bl                2/2     Running   0          3m19s   192.168.71.69     emu-worker-9   <none>           <none>
cartservice-85bff66d6b-wwv8w             2/2     Running   0          3m19s   192.168.135.100   emu-worker-4   <none>           <none>
checkoutservice-674d7b7cdf-qdfgk         2/2     Running   0          3m19s   192.168.222.33    emu-worker-7   <none>           <none>
currencyservice-6bcf8957bc-tj4qt         2/2     Running   0          3m18s   192.168.99.216    emu-worker-6   <none>           <none>
emailservice-6d64dd4f77-bhj4x            2/2     Running   0          3m18s   192.168.173.142   emu-worker-8   <none>           <none>
frontend-77468d4bcb-z5fv9                2/2     Running   0          3m18s   192.168.65.13     emu-worker-1   <none>           <none>
loadgenerator-b5b767cdb-n9tqr            2/2     Running   0          3m16s   192.168.99.218    emu-worker-6   <none>           <none>
paymentservice-8b8bc9b45-gvr25           2/2     Running   0          3m18s   192.168.42.88     emu-worker-3   <none>           <none>
productcatalogservice-c54ddf6bf-mmjcp    2/2     Running   0          3m18s   192.168.137.200   emu-worker-2   <none>           <none>
recommendationservice-597fbd6bb5-rq4vw   2/2     Running   0          3m17s   192.168.222.34    emu-worker-7   <none>           <none>
redis-cart-6576fcd97-2qxxg               2/2     Running   0          3m17s   192.168.71.71     emu-worker-9   <none>           <none>
shippingservice-56f98c99df-p55lj         2/2     Running   0          3m17s   192.168.135.101   emu-worker-4   <none>           <none>
