step,time_s,hot_expert,expert_0_popularity,expert_1_popularity,expert_2_popularity,expert_3_popularity,expert_4_popularity,expert_5_popularity
0,0.000,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
1,0.100,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
2,0.200,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
3,0.300,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
4,0.400,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
5,0.500,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
6,0.600,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
7,0.700,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
8,0.800,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
9,0.900,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
10,1.000,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
11,1.100,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
12,1.200,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
13,1.300,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
14,1.400,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
15,1.500,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
16,1.600,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
17,1.700,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
18,1.800,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
19,1.900,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
20,2.000,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
21,2.100,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
22,2.200,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
23,2.300,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
24,2.400,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
25,2.500,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
26,2.600,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
27,2.700,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
28,2.800,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
29,2.900,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
30,3.000,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
31,3.100,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
32,3.200,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
33,3.300,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
34,3.400,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
35,3.500,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
36,3.600,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
37,3.700,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
38,3.800,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
39,3.900,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
40,4.000,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
41,4.100,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
42,4.200,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
43,4.300,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
44,4.400,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
45,4.500,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
46,4.600,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
47,4.700,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
48,4.800,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
49,4.900,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
50,5.000,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
51,5.100,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
52,5.200,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
53,5.300,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
54,5.400,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
55,5.500,0,0.666667,0.066667,0.066667,0.066667,0.066667,0.066667
