application,window,query,series_count,samples,mean,p95,max
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,cluster_cpu_cores,1,42,1.884748,3.094463,7.006991
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,per_node_cpu_cores,46,1932,0.040973,0.084904,1.015831
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,cluster_memory_bytes,1,42,10587523267.047619,11122806784.000000,21873385472.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,pod_cpu_cores,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,pod_memory_bytes,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,node_network_receive_bytes_per_s,46,1932,230154.194358,356443.233333,17382081.166667
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,node_network_transmit_bytes_per_s,46,1932,38096.045497,58326.233333,27568096.100000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,pod_restarts,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,pod_ready,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,istio_request_rate,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,istio_request_duration_bucket,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,gda_pod_cpu_cores,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,gda_pod_memory_bytes,0,0,0.000000,0.000000,0.000000
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,monitoring_cpu_cores,51,2142,0.002925,0.003606,0.075663
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,monitoring_memory_bytes,51,2142,39104347.548086,34205696.000000,1139109888.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,cluster_cpu_cores,1,12,1.634924,1.692699,1.692699
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,per_node_cpu_cores,46,552,0.035542,0.070410,0.358131
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,cluster_memory_bytes,1,12,10136943274.666666,10151718912.000000,10151718912.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,pod_cpu_cores,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,pod_memory_bytes,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,node_network_receive_bytes_per_s,46,552,20848.086534,37320.200000,371103.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,node_network_transmit_bytes_per_s,46,552,15323.707488,33677.200000,182215.400000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,pod_restarts,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,pod_ready,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,istio_request_rate,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,istio_request_duration_bucket,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,gda_pod_cpu_cores,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,gda_pod_memory_bytes,0,0,0.000000,0.000000,0.000000
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,monitoring_cpu_cores,51,612,0.003136,0.003742,0.076577
moe-serving,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,monitoring_memory_bytes,51,612,39331083.712418,34320384.000000,1134092288.000000
