experiment_type,metric,notes,policy,run_id,source_column,source_file,status,unit,value
physical_social_scale,gda_build_time_ms,,scale30-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,gda_build_time_ms_mean,processed/physical_social_aggregate_metrics.json,unavailable,ms,
physical_social_scale,cpu_overhead_pct,,scale30-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,,,unavailable,percent,
physical_social_scale,memory_overhead_mb,,scale30-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,,,unavailable,MiB,
physical_social_scale,migration_count,static placement; no live tc impairment,scale30-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,migration_count_mean,processed/physical_social_aggregate_metrics.json,unavailable,count,
physical_social_scale,network_target_vs_measured_error,static placement; no live tc impairment,scale30-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,network_target_vs_measured_error_mean,processed/physical_social_aggregate_metrics.json,unavailable,unitless,
physical_social_scale,latency_p50_ms,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,p50_latency_ms_mean,processed/physical_social_aggregate_metrics.json,measured,ms,43.18649000488222
physical_social_scale,latency_p95_ms,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,p95_latency_ms_mean,processed/physical_social_aggregate_metrics.json,measured,ms,97.76106518693268
physical_social_scale,latency_p99_ms,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,p99_latency_ms_mean,processed/physical_social_aggregate_metrics.json,measured,ms,114.92883246392012
physical_social_scale,throughput_rps,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,throughput_rps_mean,processed/physical_social_aggregate_metrics.json,measured,requests/s,164.07571548554384
physical_social_scale,sla_violations,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,sla_violations_mean,processed/physical_social_aggregate_metrics.json,measured,count,0.2
physical_social_scale,sla_violation_rate,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,sla_violation_rate_mean,processed/physical_social_aggregate_metrics.json,measured,ratio,0.0022222222222222222
physical_social_scale,scheduler_decision_time_ms,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,scheduler_decision_time_ms_mean,processed/physical_social_aggregate_metrics.json,measured,ms,0.0
physical_social_scale,gda_build_time_ms,,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,gda_build_time_ms_mean,processed/physical_social_aggregate_metrics.json,unavailable,ms,
physical_social_scale,cpu_overhead_pct,,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,,,unavailable,percent,
physical_social_scale,memory_overhead_mb,,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,,,unavailable,MiB,
physical_social_scale,migration_count,static placement; no live tc impairment,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,migration_count_mean,processed/physical_social_aggregate_metrics.json,unavailable,count,
physical_social_scale,network_target_vs_measured_error,static placement; no live tc impairment,scale30-policy1,physical-social-repeated-scale-series-20260603T072120Z,network_target_vs_measured_error_mean,processed/physical_social_aggregate_metrics.json,unavailable,unitless,
physical_social_scale,latency_p50_ms,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale45-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,p50_latency_ms_mean,processed/physical_social_aggregate_metrics.json,measured,ms,43.991236202418804
physical_social_scale,latency_p95_ms,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale45-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,p95_latency_ms_mean,processed/physical_social_aggregate_metrics.json,measured,ms,98.78520951606333
physical_social_scale,latency_p99_ms,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale45-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,p99_latency_ms_mean,processed/physical_social_aggregate_metrics.json,measured,ms,102.71228603087366
physical_social_scale,throughput_rps,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale45-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,throughput_rps_mean,processed/physical_social_aggregate_metrics.json,measured,requests/s,88.13446959617303
physical_social_scale,sla_violations,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale45-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,sla_violations_mean,processed/physical_social_aggregate_metrics.json,measured,count,3.0
physical_social_scale,sla_violation_rate,mean across 5 repetitions; 95% CI in processed aggregate CSV,scale45-kubernetes,physical-social-repeated-scale-series-20260603T072120Z,sla_violation_rate_mean,processed/physical_social_aggregate_metrics.json,measured,ratio,0.03333333333333333
