run_id,metric,unit,workload-mixer,sources
continuous-callgraph-20260521T111340Z,latency_p50_ms,ms,106.98,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111340Z,latency_p95_ms,ms,120.52,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111340Z,latency_p99_ms,ms,123.49,workload-mixer:raw/request_mix_timeseries.csv#latency_ms
continuous-callgraph-20260521T111340Z,throughput_rps,requests/s,90.000,workload-mixer:raw/request_mix_timeseries.csv#qps_*
continuous-callgraph-20260521T111340Z,sla_violations,count,n/a,
continuous-callgraph-20260521T111340Z,sla_violation_rate,ratio,0.0000,workload-mixer:raw/request_mix_timeseries.csv#sla_violation_ratio
continuous-callgraph-20260521T111340Z,scheduler_decision_time_ms,ms,n/a,
continuous-callgraph-20260521T111340Z,gda_build_time_ms,ms,n/a,
continuous-callgraph-20260521T111340Z,ndm_injection_time_ms,ms,n/a,
continuous-callgraph-20260521T111340Z,cpu_overhead_pct,percent,n/a,
continuous-callgraph-20260521T111340Z,memory_overhead_mb,MiB,n/a,
continuous-callgraph-20260521T111340Z,migration_count,count,n/a,
continuous-callgraph-20260521T111340Z,network_target_vs_measured_error,unitless,n/a,
