NAME             STATUS   ROLES           AGE     VERSION   INTERNAL-IP      EXTERNAL-IP   OS-IMAGE             KERNEL-VERSION               CONTAINER-RUNTIME
emu-worker-1     Ready    <none>          4d17h   v1.36.0   172.26.132.239   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-2     Ready    <none>          4d17h   v1.36.0   172.26.131.70    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-3     Ready    <none>          4d17h   v1.36.0   172.26.128.41    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-4     Ready    <none>          4d17h   v1.36.0   172.26.133.155   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-5     Ready    <none>          4d17h   v1.36.0   172.26.131.102   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-6     Ready    <none>          4d17h   v1.36.0   172.26.133.114   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-7     Ready    <none>          4d17h   v1.36.0   172.26.135.227   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-8     Ready    <none>          4d17h   v1.36.0   172.26.135.182   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-9     Ready    <none>          4d17h   v1.36.0   172.26.133.87    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
k8s-emu-master   Ready    control-plane   4d17h   v1.36.0   172.26.130.216   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
