LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
10s         Normal    Scheduled           pod/text-service-7f74645d8f-h6m4l             Successfully assigned pss-20260523183735z-s30-k8s/text-service-7f74645d8f-h6m4l to emu-worker-8
10s         Normal    Scheduled           pod/unique-id-service-769b668b89-2qt7x        Successfully assigned pss-20260523183735z-s30-k8s/unique-id-service-769b668b89-2qt7x to emu-worker-1
11s         Normal    Scheduled           pod/compose-post-service-65ccb6bfdf-wg7pk     Successfully assigned pss-20260523183735z-s30-k8s/compose-post-service-65ccb6bfdf-wg7pk to emu-worker-4
12s         Normal    Scheduled           pod/nginx-thrift-5bb64998b9-7dg8n             Successfully assigned pss-20260523183735z-s30-k8s/nginx-thrift-5bb64998b9-7dg8n to emu-worker-4
9s          Normal    Scheduled           pod/media-service-8659f44dbf-4wrnx            Successfully assigned pss-20260523183735z-s30-k8s/media-service-8659f44dbf-4wrnx to emu-worker-6
11s         Normal    Scheduled           pod/home-timeline-service-97b5cc7c-74bzk      Successfully assigned pss-20260523183735z-s30-k8s/home-timeline-service-97b5cc7c-74bzk to emu-worker-9
11s         Normal    Scheduled           pod/user-timeline-service-5dfdffbd8f-rwc87    Successfully assigned pss-20260523183735z-s30-k8s/user-timeline-service-5dfdffbd8f-rwc87 to emu-worker-9
10s         Normal    Scheduled           pod/user-service-84b9c58789-jmsrj             Successfully assigned pss-20260523183735z-s30-k8s/user-service-84b9c58789-jmsrj to emu-worker-8
13s         Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-5bb64998b9 from 0 to 1
12s         Normal    SuccessfulCreate    replicaset/compose-post-service-65ccb6bfdf    Created pod: compose-post-service-65ccb6bfdf-wg7pk
12s         Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-65ccb6bfdf from 0 to 1
12s         Normal    SuccessfulCreate    replicaset/nginx-thrift-5bb64998b9            Created pod: nginx-thrift-5bb64998b9-7dg8n
11s         Normal    SuccessfulCreate    replicaset/home-timeline-service-97b5cc7c     Created pod: home-timeline-service-97b5cc7c-74bzk
11s         Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-97b5cc7c from 0 to 1
11s         Normal    SuccessfulCreate    replicaset/user-timeline-service-5dfdffbd8f   Created pod: user-timeline-service-5dfdffbd8f-rwc87
11s         Normal    ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-5dfdffbd8f from 0 to 1
10s         Normal    SuccessfulCreate    replicaset/user-service-84b9c58789            Created pod: user-service-84b9c58789-jmsrj
10s         Normal    SuccessfulCreate    replicaset/text-service-7f74645d8f            Created pod: text-service-7f74645d8f-h6m4l
10s         Normal    ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-769b668b89 from 0 to 1
10s         Normal    Pulled              pod/nginx-thrift-5bb64998b9-7dg8n             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
10s         Normal    Created             pod/nginx-thrift-5bb64998b9-7dg8n             Container created
10s         Normal    Started             pod/nginx-thrift-5bb64998b9-7dg8n             Container started
10s         Normal    ScalingReplicaSet   deployment/text-service                       Scaled up replica set text-service-7f74645d8f from 0 to 1
10s         Normal    SuccessfulCreate    replicaset/unique-id-service-769b668b89       Created pod: unique-id-service-769b668b89-2qt7x
10s         Normal    ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-84b9c58789 from 0 to 1
9s          Normal    Pulled              pod/home-timeline-service-97b5cc7c-74bzk      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    Pulled              pod/compose-post-service-65ccb6bfdf-wg7pk     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal    ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-8659f44dbf from 0 to 1
9s          Normal    Created             pod/home-timeline-service-97b5cc7c-74bzk      Container created
9s          Normal    Started             pod/compose-post-service-65ccb6bfdf-wg7pk     Container started
9s          Normal    Created             pod/compose-post-service-65ccb6bfdf-wg7pk     Container created
9s          Normal    Started             pod/home-timeline-service-97b5cc7c-74bzk      Container started
9s          Normal    SuccessfulCreate    replicaset/media-service-8659f44dbf           Created pod: media-service-8659f44dbf-4wrnx
8s          Normal    Pulled              pod/text-service-7f74645d8f-h6m4l             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Normal    Created             pod/text-service-7f74645d8f-h6m4l             Container created
8s          Normal    Started             pod/user-timeline-service-5dfdffbd8f-rwc87    Container started
8s          Normal    Created             pod/user-timeline-service-5dfdffbd8f-rwc87    Container created
8s          Normal    Pulled              pod/user-timeline-service-5dfdffbd8f-rwc87    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Normal    Pulled              pod/user-service-84b9c58789-jmsrj             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Normal    Created             pod/user-service-84b9c58789-jmsrj             Container created
8s          Normal    Started             pod/user-service-84b9c58789-jmsrj             Container started
8s          Normal    Started             pod/text-service-7f74645d8f-h6m4l             Container started
7s          Normal    Pulled              pod/media-service-8659f44dbf-4wrnx            Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal    Started             pod/unique-id-service-769b668b89-2qt7x        Container started
7s          Warning   Unhealthy           pod/text-service-7f74645d8f-h6m4l             Readiness probe failed: Get "http://192.168.173.158:8080/healthz": dial tcp 192.168.173.158:8080: connect: connection refused
7s          Normal    Pulled              pod/unique-id-service-769b668b89-2qt7x        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal    Created             pod/unique-id-service-769b668b89-2qt7x        Container created
7s          Normal    Created             pod/media-service-8659f44dbf-4wrnx            Container created
7s          Normal    Started             pod/media-service-8659f44dbf-4wrnx            Container started
