LAST SEEN   TYPE     REASON              OBJECT                                        MESSAGE
9s          Normal   Scheduled           pod/text-service-7cc69fb6d7-rxhff             Successfully assigned pss-20260523183735z-s10-k8s/text-service-7cc69fb6d7-rxhff to emu-worker-8
10s         Normal   Scheduled           pod/user-timeline-service-5d9b956559-mn8z7    Successfully assigned pss-20260523183735z-s10-k8s/user-timeline-service-5d9b956559-mn8z7 to emu-worker-6
10s         Normal   Scheduled           pod/user-service-599c57d855-k4hrg             Successfully assigned pss-20260523183735z-s10-k8s/user-service-599c57d855-k4hrg to emu-worker-9
9s          Normal   Scheduled           pod/unique-id-service-676dd5cff5-l59wk        Successfully assigned pss-20260523183735z-s10-k8s/unique-id-service-676dd5cff5-l59wk to emu-worker-10
10s         Normal   Scheduled           pod/home-timeline-service-74df5f9975-9hfm9    Successfully assigned pss-20260523183735z-s10-k8s/home-timeline-service-74df5f9975-9hfm9 to emu-worker-8
10s         Normal   Scheduled           pod/nginx-thrift-788d88bd6c-7tmx7             Successfully assigned pss-20260523183735z-s10-k8s/nginx-thrift-788d88bd6c-7tmx7 to emu-worker-9
9s          Normal   Scheduled           pod/media-service-6c7968cc95-gcps9            Successfully assigned pss-20260523183735z-s10-k8s/media-service-6c7968cc95-gcps9 to emu-worker-10
10s         Normal   Scheduled           pod/compose-post-service-5b7bc584b7-6qlz5     Successfully assigned pss-20260523183735z-s10-k8s/compose-post-service-5b7bc584b7-6qlz5 to emu-worker-6
12s         Normal   ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-788d88bd6c from 0 to 1
12s         Normal   SuccessfulCreate    replicaset/nginx-thrift-788d88bd6c            Created pod: nginx-thrift-788d88bd6c-7tmx7
11s         Normal   SuccessfulCreate    replicaset/home-timeline-service-74df5f9975   Created pod: home-timeline-service-74df5f9975-9hfm9
11s         Normal   ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-5b7bc584b7 from 0 to 1
11s         Normal   ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-5d9b956559 from 0 to 1
11s         Normal   SuccessfulCreate    replicaset/user-timeline-service-5d9b956559   Created pod: user-timeline-service-5d9b956559-mn8z7
11s         Normal   ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-599c57d855 from 0 to 1
11s         Normal   SuccessfulCreate    replicaset/user-service-599c57d855            Created pod: user-service-599c57d855-k4hrg
11s         Normal   SuccessfulCreate    replicaset/compose-post-service-5b7bc584b7    Created pod: compose-post-service-5b7bc584b7-6qlz5
11s         Normal   ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-74df5f9975 from 0 to 1
10s         Normal   ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-676dd5cff5 from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/unique-id-service-676dd5cff5       Created pod: unique-id-service-676dd5cff5-l59wk
10s         Normal   ScalingReplicaSet   deployment/text-service                       Scaled up replica set text-service-7cc69fb6d7 from 0 to 1
10s         Normal   SuccessfulCreate    replicaset/text-service-7cc69fb6d7            Created pod: text-service-7cc69fb6d7-rxhff
9s          Normal   Created             pod/nginx-thrift-788d88bd6c-7tmx7             Container created
9s          Normal   SuccessfulCreate    replicaset/media-service-6c7968cc95           Created pod: media-service-6c7968cc95-gcps9
9s          Normal   ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-6c7968cc95 from 0 to 1
9s          Normal   Pulled              pod/nginx-thrift-788d88bd6c-7tmx7             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
9s          Normal   Started             pod/nginx-thrift-788d88bd6c-7tmx7             Container started
8s          Normal   Created             pod/compose-post-service-5b7bc584b7-6qlz5     Container created
8s          Normal   Started             pod/compose-post-service-5b7bc584b7-6qlz5     Container started
8s          Normal   Created             pod/home-timeline-service-74df5f9975-9hfm9    Container created
8s          Normal   Pulled              pod/home-timeline-service-74df5f9975-9hfm9    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Normal   Started             pod/user-service-599c57d855-k4hrg             Container started
8s          Normal   Pulled              pod/user-service-599c57d855-k4hrg             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
8s          Normal   Created             pod/user-service-599c57d855-k4hrg             Container created
8s          Normal   Started             pod/home-timeline-service-74df5f9975-9hfm9    Container started
8s          Normal   Pulled              pod/compose-post-service-5b7bc584b7-6qlz5     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Pulled              pod/user-timeline-service-5d9b956559-mn8z7    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
7s          Normal   Created             pod/user-timeline-service-5d9b956559-mn8z7    Container created
7s          Normal   Started             pod/user-timeline-service-5d9b956559-mn8z7    Container started
5s          Normal   Created             pod/text-service-7cc69fb6d7-rxhff             Container created
5s          Normal   Started             pod/media-service-6c7968cc95-gcps9            Container started
5s          Normal   Created             pod/media-service-6c7968cc95-gcps9            Container created
5s          Normal   Started             pod/text-service-7cc69fb6d7-rxhff             Container started
5s          Normal   Pulled              pod/unique-id-service-676dd5cff5-l59wk        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal   Pulled              pod/media-service-6c7968cc95-gcps9            Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal   Pulled              pod/text-service-7cc69fb6d7-rxhff             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal   Started             pod/unique-id-service-676dd5cff5-l59wk        Container started
4s          Normal   Created             pod/unique-id-service-676dd5cff5-l59wk        Container created
