LAST SEEN   TYPE     REASON              OBJECT                                        MESSAGE
4s          Normal   Scheduled           pod/text-service-55b694657b-kcdnh             Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/text-service-55b694657b-kcdnh to emu-worker-2
4s          Normal   Scheduled           pod/compose-post-service-5b86b4db6d-4tl46     Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/compose-post-service-5b86b4db6d-4tl46 to emu-worker-3
4s          Normal   Scheduled           pod/user-timeline-service-78d45cbb8-h4mjv     Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/user-timeline-service-78d45cbb8-h4mjv to emu-worker-6
4s          Normal   Scheduled           pod/user-service-58448d8fbd-dx5s2             Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/user-service-58448d8fbd-dx5s2 to emu-worker-6
4s          Normal   Scheduled           pod/unique-id-service-5c9856c46d-dpdbk        Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/unique-id-service-5c9856c46d-dpdbk to emu-worker-2
4s          Normal   Scheduled           pod/nginx-thrift-67c58c9cd9-k4st9             Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/nginx-thrift-67c58c9cd9-k4st9 to emu-worker-10
4s          Normal   Scheduled           pod/home-timeline-service-5f75778fd4-m47m6    Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/home-timeline-service-5f75778fd4-m47m6 to emu-worker-6
4s          Normal   Scheduled           pod/media-service-7d96478d98-sdbft            Successfully assigned live-tc-social-scale45-20260603t074207z-policy4-rep3/media-service-7d96478d98-sdbft to emu-worker-8
5s          Normal   SuccessfulCreate    replicaset/home-timeline-service-5f75778fd4   Created pod: home-timeline-service-5f75778fd4-m47m6
5s          Normal   SuccessfulCreate    replicaset/text-service-55b694657b            Created pod: text-service-55b694657b-kcdnh
5s          Normal   ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-67c58c9cd9 from 0 to 1
5s          Normal   ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-5f75778fd4 from 0 to 1
5s          Normal   ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-78d45cbb8 from 0 to 1
5s          Normal   SuccessfulCreate    replicaset/user-timeline-service-78d45cbb8    Created pod: user-timeline-service-78d45cbb8-h4mjv
5s          Normal   ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-58448d8fbd from 0 to 1
5s          Normal   SuccessfulCreate    replicaset/user-service-58448d8fbd            Created pod: user-service-58448d8fbd-dx5s2
5s          Normal   SuccessfulCreate    replicaset/media-service-7d96478d98           Created pod: media-service-7d96478d98-sdbft
5s          Normal   ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-7d96478d98 from 0 to 1
5s          Normal   ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-5b86b4db6d from 0 to 1
5s          Normal   ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-5c9856c46d from 0 to 1
5s          Normal   SuccessfulCreate    replicaset/unique-id-service-5c9856c46d       Created pod: unique-id-service-5c9856c46d-dpdbk
5s          Normal   SuccessfulCreate    replicaset/compose-post-service-5b86b4db6d    Created pod: compose-post-service-5b86b4db6d-4tl46
5s          Normal   ScalingReplicaSet   deployment/text-service                       Scaled up replica set text-service-55b694657b from 0 to 1
5s          Normal   SuccessfulCreate    replicaset/nginx-thrift-67c58c9cd9            Created pod: nginx-thrift-67c58c9cd9-k4st9
4s          Normal   Started             pod/text-service-55b694657b-kcdnh             Container started
4s          Normal   Pulled              pod/nginx-thrift-67c58c9cd9-k4st9             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal   Created             pod/text-service-55b694657b-kcdnh             Container created
4s          Normal   Created             pod/home-timeline-service-5f75778fd4-m47m6    Container created
4s          Normal   Started             pod/home-timeline-service-5f75778fd4-m47m6    Container started
4s          Normal   Pulled              pod/compose-post-service-5b86b4db6d-4tl46     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal   Started             pod/nginx-thrift-67c58c9cd9-k4st9             Container started
4s          Normal   Pulled              pod/unique-id-service-5c9856c46d-dpdbk        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal   Created             pod/unique-id-service-5c9856c46d-dpdbk        Container created
4s          Normal   Started             pod/unique-id-service-5c9856c46d-dpdbk        Container started
4s          Normal   Created             pod/nginx-thrift-67c58c9cd9-k4st9             Container created
4s          Normal   Pulled              pod/text-service-55b694657b-kcdnh             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal   Started             pod/compose-post-service-5b86b4db6d-4tl46     Container started
4s          Normal   Pulled              pod/home-timeline-service-5f75778fd4-m47m6    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal   Started             pod/user-timeline-service-78d45cbb8-h4mjv     Container started
4s          Normal   Created             pod/user-timeline-service-78d45cbb8-h4mjv     Container created
4s          Normal   Pulled              pod/user-timeline-service-78d45cbb8-h4mjv     Container image "python:3.11-slim" already present on machine and can be accessed by the pod
4s          Normal   Created             pod/compose-post-service-5b86b4db6d-4tl46     Container created
3s          Normal   Created             pod/media-service-7d96478d98-sdbft            Container created
3s          Normal   Started             pod/media-service-7d96478d98-sdbft            Container started
3s          Normal   Started             pod/user-service-58448d8fbd-dx5s2             Container started
3s          Normal   Created             pod/user-service-58448d8fbd-dx5s2             Container created
3s          Normal   Pulled              pod/media-service-7d96478d98-sdbft            Container image "python:3.11-slim" already present on machine and can be accessed by the pod
3s          Normal   Pulled              pod/user-service-58448d8fbd-dx5s2             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
