step,time_s,request_type,probability,qps,evidence_type
0,0.000,index,0.715789,85.894737,replay
0,0.000,setCurrency,0.031579,3.789474,replay
0,0.000,browseProduct,0.157895,18.947368,replay
0,0.000,addToCart,0.031579,3.789474,replay
0,0.000,viewCart,0.047368,5.684211,replay
0,0.000,checkout,0.015789,1.894737,replay
1,1.000,index,0.715789,85.894737,replay
1,1.000,setCurrency,0.031579,3.789474,replay
1,1.000,browseProduct,0.157895,18.947368,replay
1,1.000,addToCart,0.031579,3.789474,replay
1,1.000,viewCart,0.047368,5.684211,replay
1,1.000,checkout,0.015789,1.894737,replay
2,2.000,index,0.715789,85.894737,replay
2,2.000,setCurrency,0.031579,3.789474,replay
2,2.000,browseProduct,0.157895,18.947368,replay
2,2.000,addToCart,0.031579,3.789474,replay
2,2.000,viewCart,0.047368,5.684211,replay
2,2.000,checkout,0.015789,1.894737,replay
3,3.000,index,0.715789,85.894737,replay
3,3.000,setCurrency,0.031579,3.789474,replay
3,3.000,browseProduct,0.157895,18.947368,replay
3,3.000,addToCart,0.031579,3.789474,replay
3,3.000,viewCart,0.047368,5.684211,replay
3,3.000,checkout,0.015789,1.894737,replay
4,4.000,index,0.715789,85.894737,replay
4,4.000,setCurrency,0.031579,3.789474,replay
4,4.000,browseProduct,0.157895,18.947368,replay
4,4.000,addToCart,0.031579,3.789474,replay
4,4.000,viewCart,0.047368,5.684211,replay
4,4.000,checkout,0.015789,1.894737,replay
5,5.000,index,0.715789,85.894737,replay
5,5.000,setCurrency,0.031579,3.789474,replay
5,5.000,browseProduct,0.157895,18.947368,replay
5,5.000,addToCart,0.031579,3.789474,replay
5,5.000,viewCart,0.047368,5.684211,replay
5,5.000,checkout,0.015789,1.894737,replay
6,6.000,index,0.715789,85.894737,replay
6,6.000,setCurrency,0.031579,3.789474,replay
6,6.000,browseProduct,0.157895,18.947368,replay
6,6.000,addToCart,0.031579,3.789474,replay
6,6.000,viewCart,0.047368,5.684211,replay
6,6.000,checkout,0.015789,1.894737,replay
7,7.000,index,0.715789,85.894737,replay
7,7.000,setCurrency,0.031579,3.789474,replay
7,7.000,browseProduct,0.157895,18.947368,replay
7,7.000,addToCart,0.031579,3.789474,replay
7,7.000,viewCart,0.047368,5.684211,replay
7,7.000,checkout,0.015789,1.894737,replay
8,8.000,index,0.715789,85.894737,replay
8,8.000,setCurrency,0.031579,3.789474,replay
8,8.000,browseProduct,0.157895,18.947368,replay
8,8.000,addToCart,0.031579,3.789474,replay
8,8.000,viewCart,0.047368,5.684211,replay
8,8.000,checkout,0.015789,1.894737,replay
9,9.000,index,0.715789,85.894737,replay
9,9.000,setCurrency,0.031579,3.789474,replay
9,9.000,browseProduct,0.157895,18.947368,replay
9,9.000,addToCart,0.031579,3.789474,replay
9,9.000,viewCart,0.047368,5.684211,replay
9,9.000,checkout,0.015789,1.894737,replay
10,10.000,index,0.715789,85.894737,replay
10,10.000,setCurrency,0.031579,3.789474,replay
10,10.000,browseProduct,0.157895,18.947368,replay
10,10.000,addToCart,0.031579,3.789474,replay
10,10.000,viewCart,0.047368,5.684211,replay
10,10.000,checkout,0.015789,1.894737,replay
11,11.000,index,0.715789,85.894737,replay
11,11.000,setCurrency,0.031579,3.789474,replay
11,11.000,browseProduct,0.157895,18.947368,replay
11,11.000,addToCart,0.031579,3.789474,replay
11,11.000,viewCart,0.047368,5.684211,replay
11,11.000,checkout,0.015789,1.894737,replay
12,12.000,index,0.715789,85.894737,replay
12,12.000,setCurrency,0.031579,3.789474,replay
12,12.000,browseProduct,0.157895,18.947368,replay
12,12.000,addToCart,0.031579,3.789474,replay
12,12.000,viewCart,0.047368,5.684211,replay
12,12.000,checkout,0.015789,1.894737,replay
13,13.000,index,0.715789,85.894737,replay
13,13.000,setCurrency,0.031579,3.789474,replay
13,13.000,browseProduct,0.157895,18.947368,replay
13,13.000,addToCart,0.031579,3.789474,replay
13,13.000,viewCart,0.047368,5.684211,replay
13,13.000,checkout,0.015789,1.894737,replay
14,14.000,index,0.715789,85.894737,replay
14,14.000,setCurrency,0.031579,3.789474,replay
14,14.000,browseProduct,0.157895,18.947368,replay
14,14.000,addToCart,0.031579,3.789474,replay
14,14.000,viewCart,0.047368,5.684211,replay
14,14.000,checkout,0.015789,1.894737,replay
15,15.000,index,0.715789,85.894737,replay
15,15.000,setCurrency,0.031579,3.789474,replay
15,15.000,browseProduct,0.157895,18.947368,replay
15,15.000,addToCart,0.031579,3.789474,replay
15,15.000,viewCart,0.047368,5.684211,replay
15,15.000,checkout,0.015789,1.894737,replay
16,16.000,index,0.715789,85.894737,replay
16,16.000,setCurrency,0.031579,3.789474,replay
16,16.000,browseProduct,0.157895,18.947368,replay
16,16.000,addToCart,0.031579,3.789474,replay
16,16.000,viewCart,0.047368,5.684211,replay
16,16.000,checkout,0.015789,1.894737,replay
17,17.000,index,0.715789,85.894737,replay
17,17.000,setCurrency,0.031579,3.789474,replay
17,17.000,browseProduct,0.157895,18.947368,replay
17,17.000,addToCart,0.031579,3.789474,replay
17,17.000,viewCart,0.047368,5.684211,replay
17,17.000,checkout,0.015789,1.894737,replay
18,18.000,index,0.715789,85.894737,replay
18,18.000,setCurrency,0.031579,3.789474,replay
18,18.000,browseProduct,0.157895,18.947368,replay
18,18.000,addToCart,0.031579,3.789474,replay
18,18.000,viewCart,0.047368,5.684211,replay
18,18.000,checkout,0.015789,1.894737,replay
19,19.000,index,0.715789,85.894737,replay
19,19.000,setCurrency,0.031579,3.789474,replay
19,19.000,browseProduct,0.157895,18.947368,replay
19,19.000,addToCart,0.031579,3.789474,replay
19,19.000,viewCart,0.047368,5.684211,replay
19,19.000,checkout,0.015789,1.894737,replay
20,20.000,index,0.715789,85.894737,replay
20,20.000,setCurrency,0.031579,3.789474,replay
20,20.000,browseProduct,0.157895,18.947368,replay
20,20.000,addToCart,0.031579,3.789474,replay
20,20.000,viewCart,0.047368,5.684211,replay
20,20.000,checkout,0.015789,1.894737,replay
21,21.000,index,0.715789,85.894737,replay
21,21.000,setCurrency,0.031579,3.789474,replay
21,21.000,browseProduct,0.157895,18.947368,replay
21,21.000,addToCart,0.031579,3.789474,replay
21,21.000,viewCart,0.047368,5.684211,replay
21,21.000,checkout,0.015789,1.894737,replay
22,22.000,index,0.715789,85.894737,replay
22,22.000,setCurrency,0.031579,3.789474,replay
22,22.000,browseProduct,0.157895,18.947368,replay
22,22.000,addToCart,0.031579,3.789474,replay
22,22.000,viewCart,0.047368,5.684211,replay
22,22.000,checkout,0.015789,1.894737,replay
23,23.000,index,0.715789,85.894737,replay
23,23.000,setCurrency,0.031579,3.789474,replay
