NAME                                     READY   STATUS        RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
adservice-58f45cd888-wqzlh               2/2     Running       0          36s   192.168.71.94     emu-worker-9   <none>           <none>
adservice-d9657db5c-t4tjk                2/2     Terminating   0          39s   192.168.137.242   emu-worker-2   <none>           <none>
cartservice-68fbdf6d55-6hskz             1/2     Running       0          36s   192.168.135.71    emu-worker-4   <none>           <none>
cartservice-8868cc78-lrdf7               2/2     Running       0          40s   192.168.99.244    emu-worker-6   <none>           <none>
checkoutservice-5b8f7db9c6-km24k         2/2     Running       0          36s   192.168.222.44    emu-worker-7   <none>           <none>
currencyservice-86995867f4-lhbmt         2/2     Running       0          36s   192.168.99.250    emu-worker-6   <none>           <none>
emailservice-55fdf9bbb9-hm79n            0/2     Error         0          39s   192.168.137.237   emu-worker-2   <none>           <none>
emailservice-6fcfd945cb-sg7fb            2/2     Running       0          36s   192.168.65.52     emu-worker-1   <none>           <none>
frontend-5cd7595769-xgffb                2/2     Running       0          36s   192.168.173.186   emu-worker-8   <none>           <none>
loadgenerator-8499c8dcc5-zp7hp           2/2     Running       0          33s   192.168.65.49     emu-worker-1   <none>           <none>
paymentservice-6f8b766fdd-zh9n5          2/2     Running       0          35s   192.168.42.120    emu-worker-3   <none>           <none>
productcatalogservice-59b4cb68bd-skg5w   2/2     Running       0          35s   192.168.99.247    emu-worker-6   <none>           <none>
recommendationservice-5ff9ff95dd-qkdpj   2/2     Running       0          35s   192.168.71.95     emu-worker-9   <none>           <none>
redis-cart-7bb757cc48-vtcfq              2/2     Running       0          35s   192.168.135.73    emu-worker-4   <none>           <none>
shippingservice-9647fdd5b-jp25c          2/2     Running       0          34s   192.168.173.185   emu-worker-8   <none>           <none>
